2025-05-21 15:28:12,135 INFO    MainThread:74095 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-21 15:28:12,136 INFO    MainThread:74095 [wandb_setup.py:_flush():70] Configure stats pid to 74095
2025-05-21 15:28:12,136 INFO    MainThread:74095 [wandb_setup.py:_flush():70] Loading settings from /Users/tteresattian/.config/wandb/settings
2025-05-21 15:28:12,136 INFO    MainThread:74095 [wandb_setup.py:_flush():70] Loading settings from /Users/tteresattian/Desktop/yizhou/mp-pde-scnn/wandb/settings
2025-05-21 15:28:12,136 INFO    MainThread:74095 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-21 15:28:12,137 INFO    MainThread:74095 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /Users/tteresattian/Desktop/yizhou/mp-pde-scnn/wandb/run-20250521_152812-pzxeikwb/logs/debug.log
2025-05-21 15:28:12,137 INFO    MainThread:74095 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /Users/tteresattian/Desktop/yizhou/mp-pde-scnn/wandb/run-20250521_152812-pzxeikwb/logs/debug-internal.log
2025-05-21 15:28:12,137 INFO    MainThread:74095 [wandb_init.py:init():852] calling init triggers
2025-05-21 15:28:12,137 INFO    MainThread:74095 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'epochs': 50, 'batch_size': 16, 'model': 'SCN', 'pde': 'WE', 'experiment': 'WE1', 'base_resolution': [250, 100], 'super_resolution': [250, 200], 'neighbors': 6, 'time_window': 25, 'unrolling': 1, 'nr_gt_steps': 2, '_wandb': {}}
2025-05-21 15:28:12,137 INFO    MainThread:74095 [wandb_init.py:init():893] starting backend
2025-05-21 15:28:12,137 INFO    MainThread:74095 [wandb_init.py:init():897] sending inform_init request
2025-05-21 15:28:12,169 INFO    MainThread:74095 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-05-21 15:28:12,169 INFO    MainThread:74095 [wandb_init.py:init():907] backend started and connected
2025-05-21 15:28:12,172 INFO    MainThread:74095 [wandb_init.py:init():1005] updated telemetry
2025-05-21 15:28:12,196 INFO    MainThread:74095 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-21 15:28:12,740 INFO    MainThread:74095 [wandb_init.py:init():1104] starting run threads in backend
2025-05-21 15:28:12,981 INFO    MainThread:74095 [wandb_run.py:_console_start():2573] atexit reg
2025-05-21 15:28:12,981 INFO    MainThread:74095 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-21 15:28:12,981 INFO    MainThread:74095 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-21 15:28:12,981 INFO    MainThread:74095 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-21 15:28:12,983 INFO    MainThread:74095 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-21 15:34:51,683 INFO    MsgRouterThr:74095 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
